State|County|Party|Candidate|Num|Percent|Won
minnesota|Morrison |GOP|M. Romney|    10,159|61.0%|True
minnesota|Anoka |PSL|P. Lindsay|       17|0.0%|False
minnesota|Anoka |Lib|G. Johnson|     2,284|1.2%|False
minnesota|Anoka |GRP|J. Carlson|      207|0.1%|False
minnesota|Anoka |JP|R. Anderson|      122|0.1%|False
minnesota|Anoka |Dem|B. Obama (i)|    88,611|47.7%|False
minnesota|Anoka |SWP|J. Harris|       48|0.0%|False
minnesota|Anoka |Grn|J. Stein|      687|0.4%|False
minnesota|Anoka |CST|V. Goode|      232|0.1%|False
minnesota|Anoka |Cnl|D. Morstad|       76|0.0%|False
minnesota|Anoka |GOP|M. Romney|    93,430|50.3%|True
minnesota|Rice |PSL|P. Lindsay|        5|0.0%|False
minnesota|Rice |Lib|G. Johnson|      420|1.3%|False
minnesota|Rice |GRP|J. Carlson|       35|0.1%|False
minnesota|Rice |JP|R. Anderson|       23|0.1%|False
minnesota|Rice |Dem|B. Obama (i)|    17,054|53.0%|True
minnesota|Rice |SWP|J. Harris|       12|0.0%|False
minnesota|Rice |Grn|J. Stein|      168|0.5%|False
minnesota|Rice |CST|V. Goode|       48|0.1%|False
minnesota|Rice |Cnl|D. Morstad|       15|0.0%|False
minnesota|Rice |GOP|M. Romney|    14,380|44.7%|False
minnesota|Todd |PSL|P. Lindsay|        1|0.0%|False
minnesota|Todd |Lib|G. Johnson|      117|1.0%|False
minnesota|Todd |GRP|J. Carlson|       15|0.1%|False
minnesota|Todd |JP|R. Anderson|       10|0.1%|False
minnesota|Todd |Dem|B. Obama (i)|     4,819|41.0%|False
minnesota|Todd |SWP|J. Harris|        2|0.0%|False
minnesota|Todd |Grn|J. Stein|       42|0.4%|False
minnesota|Todd |CST|V. Goode|       29|0.2%|False
minnesota|Todd |Cnl|D. Morstad|        8|0.1%|False
minnesota|Todd |GOP|M. Romney|     6,719|57.1%|True
minnesota|Kanabec |PSL|P. Lindsay|        0|0.0%|False
minnesota|Kanabec |Lib|G. Johnson|      103|1.3%|False
minnesota|Kanabec |GRP|J. Carlson|       22|0.3%|False
minnesota|Kanabec |JP|R. Anderson|        4|0.0%|False
minnesota|Kanabec |Dem|B. Obama (i)|     3,586|44.2%|False
minnesota|Kanabec |SWP|J. Harris|        6|0.1%|False
minnesota|Kanabec |Grn|J. Stein|       39|0.5%|False
minnesota|Kanabec |CST|V. Goode|       26|0.3%|False
minnesota|Kanabec |Cnl|D. Morstad|        2|0.0%|False
minnesota|Kanabec |GOP|M. Romney|     4,319|53.3%|True
minnesota|Chippewa |PSL|P. Lindsay|        1|0.0%|False
minnesota|Chippewa |Lib|G. Johnson|       72|1.2%|False
minnesota|Chippewa |GRP|J. Carlson|       14|0.2%|False
minnesota|Chippewa |JP|R. Anderson|        2|0.0%|False
minnesota|Chippewa |Dem|B. Obama (i)|     3,083|49.9%|True
minnesota|Chippewa |SWP|J. Harris|        5|0.1%|False
minnesota|Chippewa |Grn|J. Stein|       20|0.3%|False
minnesota|Chippewa |CST|V. Goode|       10|0.2%|False
minnesota|Chippewa |Cnl|D. Morstad|        2|0.0%|False
minnesota|Chippewa |GOP|M. Romney|     2,967|48.0%|False
minnesota|Carver |PSL|P. Lindsay|        7|0.0%|False
minnesota|Carver |Lib|G. Johnson|      555|1.1%|False
minnesota|Carver |GRP|J. Carlson|       35|0.1%|False
minnesota|Carver |JP|R. Anderson|       25|0.0%|False
minnesota|Carver |Dem|B. Obama (i)|    20,745|39.3%|False
minnesota|Carver |SWP|J. Harris|        7|0.0%|False
minnesota|Carver |Grn|J. Stein|      164|0.3%|False
minnesota|Carver |CST|V. Goode|       42|0.1%|False
minnesota|Carver |Cnl|D. Morstad|       12|0.0%|False
minnesota|Carver |GOP|M. Romney|    31,155|59.1%|True
minnesota|Sibley |PSL|P. Lindsay|        1|0.0%|False
minnesota|Sibley |Lib|G. Johnson|      113|1.5%|False
minnesota|Sibley |GRP|J. Carlson|       11|0.1%|False
minnesota|Sibley |JP|R. Anderson|        4|0.1%|False
minnesota|Sibley |Dem|B. Obama (i)|     2,916|37.5%|False
minnesota|Sibley |SWP|J. Harris|        0|0.0%|False
minnesota|Sibley |Grn|J. Stein|       36|0.5%|False
minnesota|Sibley |CST|V. Goode|        9|0.1%|False
minnesota|Sibley |Cnl|D. Morstad|        2|0.0%|False
minnesota|Sibley |GOP|M. Romney|     4,693|60.3%|True
minnesota|St. Louis |PSL|P. Lindsay|       13|0.0%|False
minnesota|St. Louis |Lib|G. Johnson|     1,419|1.2%|False
minnesota|St. Louis |GRP|J. Carlson|      194|0.2%|False
minnesota|St. Louis |JP|R. Anderson|       85|0.1%|False
minnesota|St. Louis |Dem|B. Obama (i)|    74,177|63.7%|True
minnesota|St. Louis |SWP|J. Harris|       32|0.0%|False
minnesota|St. Louis |Grn|J. Stein|      614|0.5%|False
minnesota|St. Louis |CST|V. Goode|      193|0.2%|False
minnesota|St. Louis |Cnl|D. Morstad|       58|0.0%|False
minnesota|St. Louis |GOP|M. Romney|    39,675|34.1%|False
minnesota|Roseau |PSL|P. Lindsay|        1|0.0%|False
minnesota|Roseau |Lib|G. Johnson|       72|1.0%|False
minnesota|Roseau |GRP|J. Carlson|       12|0.2%|False
minnesota|Roseau |JP|R. Anderson|        6|0.1%|False
minnesota|Roseau |Dem|B. Obama (i)|     2,772|37.8%|False
minnesota|Roseau |SWP|J. Harris|        6|0.1%|False
minnesota|Roseau |Grn|J. Stein|       25|0.3%|False
minnesota|Roseau |CST|V. Goode|       23|0.3%|False
minnesota|Roseau |Cnl|D. Morstad|        4|0.1%|False
minnesota|Roseau |GOP|M. Romney|     4,409|60.2%|True
minnesota|Cass |PSL|P. Lindsay|        4|0.0%|False
minnesota|Cass |Lib|G. Johnson|      116|0.7%|False
minnesota|Cass |GRP|J. Carlson|       32|0.2%|False
minnesota|Cass |JP|R. Anderson|       12|0.1%|False
minnesota|Cass |Dem|B. Obama (i)|     6,858|42.6%|False
minnesota|Cass |SWP|J. Harris|        5|0.0%|False
minnesota|Cass |Grn|J. Stein|       63|0.4%|False
minnesota|Cass |CST|V. Goode|       27|0.2%|False
minnesota|Cass |Cnl|D. Morstad|        6|0.0%|False
minnesota|Cass |GOP|M. Romney|     8,957|55.7%|True
minnesota|Wabasha |PSL|P. Lindsay|        1|0.0%|False
minnesota|Wabasha |Lib|G. Johnson|      147|1.3%|False
minnesota|Wabasha |GRP|J. Carlson|       18|0.2%|False
minnesota|Wabasha |JP|R. Anderson|       10|0.1%|False
minnesota|Wabasha |Dem|B. Obama (i)|     5,415|46.2%|False
minnesota|Wabasha |SWP|J. Harris|        6|0.1%|False
minnesota|Wabasha |Grn|J. Stein|       55|0.5%|False
minnesota|Wabasha |CST|V. Goode|       16|0.1%|False
minnesota|Wabasha |Cnl|D. Morstad|        5|0.0%|False
minnesota|Wabasha |GOP|M. Romney|     6,049|51.6%|True
minnesota|Nicollet |PSL|P. Lindsay|        3|0.0%|False
minnesota|Nicollet |Lib|G. Johnson|      237|1.3%|False
minnesota|Nicollet |GRP|J. Carlson|       22|0.1%|False
minnesota|Nicollet |JP|R. Anderson|       15|0.1%|False
minnesota|Nicollet |Dem|B. Obama (i)|     9,652|52.8%|True
minnesota|Nicollet |SWP|J. Harris|       13|0.1%|False
minnesota|Nicollet |Grn|J. Stein|      100|0.5%|False
minnesota|Nicollet |CST|V. Goode|       27|0.1%|False
minnesota|Nicollet |Cnl|D. Morstad|        2|0.0%|False
minnesota|Nicollet |GOP|M. Romney|     8,214|44.9%|False
minnesota|Stearns |PSL|P. Lindsay|       11|0.0%|False
minnesota|Stearns |Lib|G. Johnson|      955|1.2%|False
minnesota|Stearns |GRP|J. Carlson|       82|0.1%|False
minnesota|Stearns |JP|R. Anderson|       48|0.1%|False
minnesota|Stearns |Dem|B. Obama (i)|    33,552|42.9%|False
minnesota|Stearns |SWP|J. Harris|       35|0.0%|False
minnesota|Stearns |Grn|J. Stein|      338|0.4%|False
minnesota|Stearns |CST|V. Goode|      115|0.1%|False
minnesota|Stearns |Cnl|D. Morstad|       27|0.0%|False
minnesota|Stearns |GOP|M. Romney|    43,015|55.0%|True
minnesota|Benton |PSL|P. Lindsay|        4|0.0%|False
minnesota|Benton |Lib|G. Johnson|      296|1.5%|False
minnesota|Benton |GRP|J. Carlson|       28|0.1%|False
minnesota|Benton |JP|R. Anderson|       12|0.1%|False
minnesota|Benton |Dem|B. Obama (i)|     8,173|41.9%|False
minnesota|Benton |SWP|J. Harris|        8|0.0%|False
minnesota|Benton |Grn|J. Stein|       96|0.5%|False
minnesota|Benton |CST|V. Goode|       40|0.2%|False
minnesota|Benton |Cnl|D. Morstad|       15|0.1%|False
minnesota|Benton |GOP|M. Romney|    10,849|55.6%|True
minnesota|Blue Earth |PSL|P. Lindsay|        5|0.0%|False
minnesota|Blue Earth |Lib|G. Johnson|      572|1.7%|False
minnesota|Blue Earth |GRP|J. Carlson|       46|0.1%|False
minnesota|Blue Earth |JP|R. Anderson|       23|0.1%|False
minnesota|Blue Earth |Dem|B. Obama (i)|    18,164|53.4%|True
minnesota|Blue Earth |SWP|J. Harris|       12|0.0%|False
minnesota|Blue Earth |Grn|J. Stein|      222|0.7%|False
minnesota|Blue Earth |CST|V. Goode|       61|0.2%|False
minnesota|Blue Earth |Cnl|D. Morstad|       18|0.1%|False
minnesota|Blue Earth |GOP|M. Romney|    14,916|43.8%|False
illinois|Menard |Grn|J. Stein|       36|0.6%|False
illinois|Menard |GOP|M. Romney|     3,944|64.2%|True
illinois|Menard |Lib|G. Johnson|       67|1.1%|False
illinois|Menard |Dem|B. Obama (i)|     2,095|34.1%|False
illinois|Hancock |Grn|J. Stein|       54|0.7%|False
illinois|Hancock |GOP|M. Romney|     4,810|58.5%|True
illinois|Hancock |Lib|G. Johnson|      119|1.4%|False
illinois|Hancock |Dem|B. Obama (i)|     3,246|39.4%|False
illinois|Will |Grn|J. Stein|     1,083|0.4%|False
illinois|Will |Dem|B. Obama (i)|   127,522|51.1%|True
illinois|Will |Lib|G. Johnson|     2,737|1.1%|False
illinois|Will |GOP|M. Romney|   118,366|47.4%|False
illinois|Boone |Grn|J. Stein|       98|0.5%|False
illinois|Boone |GOP|M. Romney|    11,084|52.0%|True
illinois|Boone |Lib|G. Johnson|      283|1.3%|False
illinois|Boone |Dem|B. Obama (i)|     9,868|46.3%|False
illinois|Greene |Grn|J. Stein|       36|0.6%|False
illinois|Greene |GOP|M. Romney|     3,446|61.4%|True
illinois|Greene |Lib|G. Johnson|      109|1.9%|False
illinois|Greene |Dem|B. Obama (i)|     2,023|36.0%|False
illinois|Stark |Grn|J. Stein|       13|0.5%|False
illinois|Stark |GOP|M. Romney|     1,527|57.4%|True
illinois|Stark |Lib|G. Johnson|       26|1.0%|False
illinois|Stark |Dem|B. Obama (i)|     1,095|41.1%|False
illinois|Stephenson |Grn|J. Stein|       83|0.5%|False
illinois|Stephenson |GOP|M. Romney|     8,742|51.3%|True
illinois|Stephenson |Lib|G. Johnson|      250|1.5%|False
illinois|Stephenson |Dem|B. Obama (i)|     7,954|46.7%|False
illinois|Putnam |Grn|J. Stein|       34|1.1%|False
illinois|Putnam |Dem|B. Obama (i)|     1,558|49.7%|True
illinois|Putnam |Lib|G. Johnson|       40|1.3%|False
illinois|Putnam |GOP|M. Romney|     1,500|47.9%|False
illinois|Effingham |Grn|J. Stein|       93|0.6%|False
illinois|Effingham |GOP|M. Romney|    12,491|75.3%|True
illinois|Effingham |Lib|G. Johnson|      156|0.9%|False
illinois|Effingham |Dem|B. Obama (i)|     3,855|23.2%|False
illinois|Scott |Grn|J. Stein|       26|1.0%|False
illinois|Scott |GOP|M. Romney|     1,586|62.1%|True
illinois|Scott |Lib|G. Johnson|       32|1.3%|False
illinois|Scott |Dem|B. Obama (i)|      910|35.6%|False
illinois|Mason |Grn|J. Stein|       57|0.9%|False
illinois|Mason |GOP|M. Romney|     3,265|52.1%|True
illinois|Mason |Lib|G. Johnson|       83|1.3%|False
illinois|Mason |Dem|B. Obama (i)|     2,867|45.7%|False
illinois|White |Grn|J. Stein|       33|0.5%|False
illinois|White |GOP|M. Romney|     4,729|67.0%|True
illinois|White |Lib|G. Johnson|      110|1.6%|False
illinois|White |Dem|B. Obama (i)|     2,187|31.0%|False
illinois|Ogle |Grn|J. Stein|      117|0.5%|False
illinois|Ogle |GOP|M. Romney|    13,409|57.4%|True
illinois|Ogle |Lib|G. Johnson|      312|1.3%|False
illinois|Ogle |Dem|B. Obama (i)|     9,504|40.7%|False
illinois|Jasper |Grn|J. Stein|       30|0.6%|False
illinois|Jasper |GOP|M. Romney|     3,511|69.7%|True
illinois|Jasper |Lib|G. Johnson|       63|1.3%|False
illinois|Jasper |Dem|B. Obama (i)|     1,434|28.5%|False
illinois|Cumberland |Grn|J. Stein|       48|0.9%|False
illinois|Cumberland |GOP|M. Romney|     3,506|66.3%|True
illinois|Cumberland |Lib|G. Johnson|       96|1.8%|False
illinois|Cumberland |Dem|B. Obama (i)|     1,640|31.0%|False
illinois|Champaign |Grn|J. Stein|      885|1.1%|False
illinois|Champaign |Dem|B. Obama (i)|    40,378|52.0%|True
illinois|Champaign |Lib|G. Johnson|     1,271|1.6%|False
illinois|Champaign |GOP|M. Romney|    35,086|45.2%|False
illinois|Coles |Grn|J. Stein|      159|0.7%|False
illinois|Coles |GOP|M. Romney|    11,623|54.5%|True
illinois|Coles |Lib|G. Johnson|      304|1.4%|False
illinois|Coles |Dem|B. Obama (i)|     9,252|43.4%|False
illinois|Lawrence |Grn|J. Stein|       33|0.6%|False
illinois|Lawrence |GOP|M. Romney|     3,853|64.4%|True
illinois|Lawrence |Lib|G. Johnson|       88|1.5%|False
illinois|Lawrence |Dem|B. Obama (i)|     2,010|33.6%|False
illinois|Kendall |Grn|J. Stein|      191|0.4%|False
illinois|Kendall |GOP|M. Romney|    23,076|51.2%|True
illinois|Kendall |Lib|G. Johnson|      556|1.2%|False
illinois|Kendall |Dem|B. Obama (i)|    21,219|47.1%|False
illinois|Livingston |Grn|J. Stein|       85|0.6%|False
illinois|Livingston |GOP|M. Romney|     9,745|64.9%|True
illinois|Livingston |Lib|G. Johnson|      175|1.2%|False
illinois|Livingston |Dem|B. Obama (i)|     5,014|33.4%|False
illinois|Jackson |Grn|J. Stein|      374|1.8%|False
illinois|Jackson |Dem|B. Obama (i)|    11,306|53.4%|True
illinois|Jackson |Lib|G. Johnson|      380|1.8%|False
illinois|Jackson |GOP|M. Romney|     9,130|43.1%|False
illinois|Jefferson |Grn|J. Stein|      146|0.9%|False
illinois|Jefferson |GOP|M. Romney|     9,805|60.1%|True
illinois|Jefferson |Lib|G. Johnson|      272|1.7%|False
illinois|Jefferson |Dem|B. Obama (i)|     6,080|37.3%|False
illinois|Christian |Grn|J. Stein|      117|0.8%|False
illinois|Christian |GOP|M. Romney|     8,873|60.4%|True
illinois|Christian |Lib|G. Johnson|      205|1.4%|False
illinois|Christian |Dem|B. Obama (i)|     5,487|37.4%|False
illinois|Bond |Grn|J. Stein|       60|0.8%|False
illinois|Bond |GOP|M. Romney|     4,091|55.9%|True
illinois|Bond |Lib|G. Johnson|      149|2.0%|False
illinois|Bond |Dem|B. Obama (i)|     3,016|41.2%|False
illinois|Pope |Grn|J. Stein|       25|1.1%|False
illinois|Pope |GOP|M. Romney|     1,511|68.1%|True
illinois|Pope |Lib|G. Johnson|       34|1.5%|False
illinois|Pope |Dem|B. Obama (i)|      649|29.2%|False
illinois|LaSalle |Grn|J. Stein|      272|0.6%|False
illinois|LaSalle |GOP|M. Romney|    23,207|49.2%|True
illinois|LaSalle |Lib|G. Johnson|      644|1.4%|False
illinois|LaSalle |Dem|B. Obama (i)|    23,023|48.8%|False
illinois|Marshall |Grn|J. Stein|       38|0.7%|False
illinois|Marshall |GOP|M. Romney|     3,287|56.3%|True
illinois|Marshall |Lib|G. Johnson|       65|1.1%|False
illinois|Marshall |Dem|B. Obama (i)|     2,452|42.0%|False
illinois|St. Clair |Grn|J. Stein|      655|0.6%|False
illinois|St. Clair |Dem|B. Obama (i)|    66,749|56.4%|True
illinois|St. Clair |Lib|G. Johnson|     1,365|1.2%|False
illinois|St. Clair |GOP|M. Romney|    49,610|41.9%|False
illinois|Bureau |Grn|J. Stein|      104|0.6%|False
illinois|Bureau |GOP|M. Romney|     8,151|49.1%|True
illinois|Bureau |Lib|G. Johnson|      226|1.4%|False
illinois|Bureau |Dem|B. Obama (i)|     8,118|48.9%|False
illinois|Macoupin |Grn|J. Stein|      174|0.8%|False
illinois|Macoupin |GOP|M. Romney|    10,909|52.1%|True
illinois|Macoupin |Lib|G. Johnson|      424|2.0%|False
illinois|Macoupin |Dem|B. Obama (i)|     9,440|45.1%|False
illinois|Iroquois |Grn|J. Stein|       75|0.6%|False
illinois|Iroquois |GOP|M. Romney|     9,115|71.4%|True
illinois|Iroquois |Lib|G. Johnson|      172|1.3%|False
illinois|Iroquois |Dem|B. Obama (i)|     3,408|26.7%|False
illinois|Washington |Grn|J. Stein|       64|0.9%|False
illinois|Washington |GOP|M. Romney|     4,787|64.7%|True
illinois|Washington |Lib|G. Johnson|       99|1.3%|False
illinois|Washington |Dem|B. Obama (i)|     2,448|33.1%|False
illinois|Knox |Grn|J. Stein|      119|0.5%|False
illinois|Knox |Dem|B. Obama (i)|    12,993|57.7%|True
illinois|Knox |Lib|G. Johnson|      272|1.2%|False
illinois|Knox |GOP|M. Romney|     9,133|40.6%|False
illinois|Kankakee |Grn|J. Stein|      235|0.5%|False
illinois|Kankakee |GOP|M. Romney|    23,115|50.9%|True
illinois|Kankakee |Lib|G. Johnson|      528|1.2%|False
illinois|Kankakee |Dem|B. Obama (i)|    21,574|47.5%|False
illinois|Moultrie |Grn|J. Stein|       48|0.8%|False
illinois|Moultrie |GOP|M. Romney|     3,781|62.5%|True
illinois|Moultrie |Lib|G. Johnson|       81|1.3%|False
illinois|Moultrie |Dem|B. Obama (i)|     2,142|35.4%|False
illinois|Kane |Grn|J. Stein|      875|0.5%|False
illinois|Kane |Dem|B. Obama (i)|    91,120|49.6%|True
illinois|Kane |Lib|G. Johnson|     2,134|1.2%|False
illinois|Kane |GOP|M. Romney|    89,502|48.7%|False
illinois|Johnson |Grn|J. Stein|       49|0.9%|False
illinois|Johnson |GOP|M. Romney|     3,959|69.9%|True
illinois|Johnson |Lib|G. Johnson|       87|1.5%|False
illinois|Johnson |Dem|B. Obama (i)|     1,571|27.7%|False
illinois|Pulaski |Grn|J. Stein|       19|0.6%|False
illinois|Pulaski |GOP|M. Romney|     1,562|52.0%|True
illinois|Pulaski |Lib|G. Johnson|       31|1.0%|False
illinois|Pulaski |Dem|B. Obama (i)|     1,389|46.3%|False
illinois|Fulton |Grn|J. Stein|      130|0.8%|False
illinois|Fulton |Dem|B. Obama (i)|     8,324|54.3%|True
illinois|Fulton |Lib|G. Johnson|      261|1.7%|False
illinois|Fulton |GOP|M. Romney|     6,622|43.2%|False
illinois|Saline |Grn|J. Stein|       87|0.8%|False
illinois|Saline |GOP|M. Romney|     6,803|63.5%|True
illinois|Saline |Lib|G. Johnson|      126|1.2%|False
illinois|Saline |Dem|B. Obama (i)|     3,697|34.5%|False
illinois|DeKalb |Grn|J. Stein|      309|0.8%|False
illinois|DeKalb |Dem|B. Obama (i)|    21,171|51.6%|True
illinois|DeKalb |Lib|G. Johnson|      634|1.5%|False
illinois|DeKalb |GOP|M. Romney|    18,906|46.1%|False
illinois|JoDaviess |Grn|J. Stein|       57|0.5%|False
illinois|JoDaviess |Dem|B. Obama (i)|     5,660|49.6%|True
illinois|JoDaviess |Lib|G. Johnson|      165|1.4%|False
illinois|JoDaviess |GOP|M. Romney|     5,529|48.5%|False
illinois|Mercer |Grn|J. Stein|       40|0.5%|False
illinois|Mercer |Dem|B. Obama (i)|     4,503|52.8%|True
illinois|Mercer |Lib|G. Johnson|      108|1.3%|False
illinois|Mercer |GOP|M. Romney|     3,874|45.4%|False
illinois|Winnebago |Grn|J. Stein|      615|0.5%|False
illinois|Winnebago |Dem|B. Obama (i)|    60,334|52.0%|True
illinois|Winnebago |Lib|G. Johnson|     1,430|1.2%|False
illinois|Winnebago |GOP|M. Romney|    53,722|46.3%|False
illinois|Ford |Grn|J. Stein|       32|0.5%|False
illinois|Ford |GOP|M. Romney|     4,225|70.4%|True
illinois|Ford |Lib|G. Johnson|       89|1.5%|False
illinois|Ford |Dem|B. Obama (i)|     1,654|27.6%|False
illinois|McHenry |Grn|J. Stein|      732|0.5%|False
illinois|McHenry |GOP|M. Romney|    71,488|53.5%|True
illinois|McHenry |Lib|G. Johnson|     1,678|1.3%|False
illinois|McHenry |Dem|B. Obama (i)|    59,691|44.7%|False
illinois|Douglas |Grn|J. Stein|       40|0.5%|False
illinois|Douglas |GOP|M. Romney|     5,331|67.6%|True
illinois|Douglas |Lib|G. Johnson|       92|1.2%|False
illinois|Douglas |Dem|B. Obama (i)|     2,426|30.8%|False
illinois|Randolph |Grn|J. Stein|      116|0.8%|False
illinois|Randolph |GOP|M. Romney|     8,284|57.6%|True
illinois|Randolph |Lib|G. Johnson|      227|1.6%|False
illinois|Randolph |Dem|B. Obama (i)|     5,753|40.0%|False
illinois|Shelby |Grn|J. Stein|       67|0.6%|False
illinois|Shelby |GOP|M. Romney|     6,837|65.8%|True
illinois|Shelby |Lib|G. Johnson|      143|1.4%|False
illinois|Shelby |Dem|B. Obama (i)|     3,336|32.1%|False
illinois|Lake |Grn|J. Stein|     1,109|0.4%|False
illinois|Lake |Dem|B. Obama (i)|   151,552|53.4%|True
illinois|Lake |Lib|G. Johnson|     2,762|1.0%|False
illinois|Lake |GOP|M. Romney|   128,609|45.3%|False
illinois|Edgar |Grn|J. Stein|       46|0.6%|False
illinois|Edgar |GOP|M. Romney|     5,125|65.6%|True
illinois|Edgar |Lib|G. Johnson|       76|1.0%|False
illinois|Edgar |Dem|B. Obama (i)|     2,563|32.8%|False
illinois|Alexander |Grn|J. Stein|       20|0.6%|False
illinois|Alexander |Dem|B. Obama (i)|     1,961|56.1%|True
illinois|Alexander |Lib|G. Johnson|       29|0.8%|False
illinois|Alexander |GOP|M. Romney|     1,485|42.5%|False
illinois|Williamson |Grn|J. Stein|      246|0.8%|False
illinois|Williamson |GOP|M. Romney|    17,880|61.5%|True
illinois|Williamson |Lib|G. Johnson|      331|1.1%|False
illinois|Williamson |Dem|B. Obama (i)|    10,622|36.5%|False
illinois|Cook |Grn|J. Stein|    10,879|0.6%|False
illinois|Cook |Dem|B. Obama (i)|  1,439,123|74.0%|True
illinois|Cook |Lib|G. Johnson|    15,195|0.8%|False
illinois|Cook |GOP|M. Romney|   479,204|24.6%|False
illinois|Madison |Grn|J. Stein|      948|0.8%|False
illinois|Madison |GOP|M. Romney|    60,481|49.5%|True
illinois|Madison |Lib|G. Johnson|     1,961|1.6%|False
illinois|Madison |Dem|B. Obama (i)|    58,813|48.1%|False
illinois|Clay |Grn|J. Stein|       38|0.6%|False
illinois|Clay |GOP|M. Romney|     4,184|70.9%|True
illinois|Clay |Lib|G. Johnson|       96|1.6%|False
illinois|Clay |Dem|B. Obama (i)|     1,581|26.8%|False
illinois|Hamilton |Grn|J. Stein|       40|1.0%|False
illinois|Hamilton |GOP|M. Romney|     2,566|65.2%|True
illinois|Hamilton |Lib|G. Johnson|       63|1.6%|False
illinois|Hamilton |Dem|B. Obama (i)|     1,266|32.2%|False
illinois|Peoria |Grn|J. Stein|      478|0.6%|False
illinois|Peoria |Dem|B. Obama (i)|    40,050|51.3%|True
illinois|Peoria |Lib|G. Johnson|      915|1.2%|False
illinois|Peoria |GOP|M. Romney|    36,617|46.9%|False
illinois|Macon |Grn|J. Stein|      253|0.5%|False
illinois|Macon |GOP|M. Romney|    25,249|51.8%|True
illinois|Macon |Lib|G. Johnson|      552|1.1%|False
illinois|Macon |Dem|B. Obama (i)|    22,688|46.5%|False
illinois|Carroll |Grn|J. Stein|       45|0.6%|False
illinois|Carroll |Dem|B. Obama (i)|     3,658|49.6%|True
illinois|Carroll |Lib|G. Johnson|      116|1.6%|False
illinois|Carroll |GOP|M. Romney|     3,551|48.2%|False
illinois|Pike |Grn|J. Stein|       56|0.8%|False
illinois|Pike |GOP|M. Romney|     4,853|66.7%|True
illinois|Pike |Lib|G. Johnson|       90|1.2%|False
illinois|Pike |Dem|B. Obama (i)|     2,276|31.3%|False
illinois|Jersey |Grn|J. Stein|       80|0.8%|False
illinois|Jersey |GOP|M. Romney|     6,032|60.7%|True
illinois|Jersey |Lib|G. Johnson|      172|1.7%|False
illinois|Jersey |Dem|B. Obama (i)|     3,656|36.8%|False
illinois|Perry |Grn|J. Stein|      105|1.1%|False
illinois|Perry |GOP|M. Romney|     5,497|57.7%|True
illinois|Perry |Lib|G. Johnson|      118|1.2%|False
illinois|Perry |Dem|B. Obama (i)|     3,813|40.0%|False
illinois|Calhoun |Grn|J. Stein|       27|1.0%|False
illinois|Calhoun |GOP|M. Romney|     1,439|55.9%|True
illinois|Calhoun |Lib|G. Johnson|       29|1.1%|False
illinois|Calhoun |Dem|B. Obama (i)|     1,079|41.9%|False
illinois|Grundy |Grn|J. Stein|      126|0.6%|False
illinois|Grundy |GOP|M. Romney|    11,198|53.4%|True
illinois|Grundy |Lib|G. Johnson|      313|1.5%|False
illinois|Grundy |Dem|B. Obama (i)|     9,319|44.5%|False
illinois|Clinton |Grn|J. Stein|       99|0.6%|False
illinois|Clinton |GOP|M. Romney|    10,493|64.0%|True
illinois|Clinton |Lib|G. Johnson|      225|1.4%|False
illinois|Clinton |Dem|B. Obama (i)|     5,577|34.0%|False
illinois|Schuyler |Grn|J. Stein|       32|0.8%|False
illinois|Schuyler |GOP|M. Romney|     2,062|53.1%|True
illinois|Schuyler |Lib|G. Johnson|       62|1.6%|False
illinois|Schuyler |Dem|B. Obama (i)|     1,726|44.5%|False
illinois|Warren |Grn|J. Stein|       41|0.5%|False
illinois|Warren |Dem|B. Obama (i)|     3,893|52.1%|True
illinois|Warren |Lib|G. Johnson|       82|1.1%|False
illinois|Warren |GOP|M. Romney|     3,460|46.3%|False
illinois|Brown |Grn|J. Stein|       24|1.0%|False
illinois|Brown |GOP|M. Romney|     1,511|64.0%|True
illinois|Brown |Lib|G. Johnson|       40|1.7%|False
illinois|Brown |Dem|B. Obama (i)|      787|33.3%|False
illinois|Richland |Grn|J. Stein|       34|0.5%|False
illinois|Richland |GOP|M. Romney|     4,750|65.3%|True
illinois|Richland |Lib|G. Johnson|      130|1.8%|False
illinois|Richland |Dem|B. Obama (i)|     2,360|32.4%|False
illinois|Clark |Grn|J. Stein|       31|0.4%|False
illinois|Clark |GOP|M. Romney|     5,138|65.5%|True
illinois|Clark |Lib|G. Johnson|       87|1.1%|False
illinois|Clark |Dem|B. Obama (i)|     2,587|33.0%|False
illinois|Henry |Grn|J. Stein|      116|0.5%|False
illinois|Henry |Dem|B. Obama (i)|    12,316|50.7%|True
illinois|Henry |Lib|G. Johnson|      283|1.2%|False
illinois|Henry |GOP|M. Romney|    11,564|47.6%|False
illinois|Lee |Grn|J. Stein|      101|0.7%|False
illinois|Lee |GOP|M. Romney|     8,046|52.7%|True
illinois|Lee |Lib|G. Johnson|      196|1.3%|False
illinois|Lee |Dem|B. Obama (i)|     6,932|45.4%|False
illinois|Morgan |Grn|J. Stein|      112|0.8%|False
illinois|Morgan |GOP|M. Romney|     7,962|56.6%|True
illinois|Morgan |Lib|G. Johnson|      205|1.5%|False
illinois|Morgan |Dem|B. Obama (i)|     5,792|41.2%|False
illinois|Piatt |Grn|J. Stein|       63|0.7%|False
illinois|Piatt |GOP|M. Romney|     5,412|62.2%|True
illinois|Piatt |Lib|G. Johnson|      141|1.6%|False
